
外國語言 FLL,A1,137,A110600,37,,,外國語言,,N,基礎學術溝通,必修,2陳俐文,0,35,[3]5~6,,模組一,,否,FLL1017,,否
外國語言 FLL,A1,138,A110700,38,,,外國語言,,N,跨文化溝通,必修,2葉靜怡,0,35,[3]5~6,,模組一,,否,FLL1018,,否
外國語言 FLL,A1,139,A116700,39,,,外國語言,,N,高科技產業英文,必修,2吳少方,0,35,[3]5~6,,模組二,,否,FLL1022,,否
外國語言 FLL,A1,140,A116800,40,,,外國語言,,N,商業溝通英文,必修,2許富貴,0,35,[3]5~6,,模組二,,否,FLL1023,,否
外國語言 FLL,A1,142,A110500,42,,,外國語言,,N,基礎學術英文,必修,2曾惠鈴,0,35,[3]7~8,,模組一,,否,FLL1016,,否
外國語言 FLL,A1,143,A110700,43,,,外國語言,,N,跨文化溝通,必修,2許富貴,0,35,[3]7~8,,模組一,,否,FLL1018,,否
外國語言 FLL,A1,144,A117500,44,,,外國語言,,N,餐旅英文,必修,2賴諭萱,0,35,[3]7~8,,模組二,,否,FLL1030,,否
外國語言 FLL,A1,145,A117100,45,,,外國語言,,N,基礎科學英文,必修,2柯瓊琪,0,35,[3]7~8,,模組二,,否,FLL1026,,否
外國語言 FLL,A1,146,A117000,46,,,外國語言,,N,基礎工程英文,必修,2陳慧琴,0,35,[3]7~8,,模組二,,否,FLL1025,,否
外國語言 FLL,A1,147,A117900,47,,,外國語言,,N,閱讀文學與文化,必修,2王穎,0,30,[3]7~8,,模組三,,否,FLL1034,,否
外國語言 FLL,A1,148,A110700,48,,,外國語言,,N,跨文化溝通,必修,2葉靜怡,0,35,[4]3~4,,模組一,,否,FLL1018,,否
外國語言 FLL,A1,149,A110500,49,,,外國語言,,N,基礎學術英文,必修,2曾惠鈴,0,35,[4]3~4,,模組一,,否,FLL1016,,否
外國語言 FLL,A1,150,A117200,50,,,外國語言,,N,創意產業英文,必修,2辛佳玲,0,35,[4]3~4,,模組二,,否,FLL1027,,否
外國語言 FLL,A1,151,A116700,51,,,外國語言,,N,高科技產業英文,必修,2吳少方,0,35,[4]3~4,,模組二,,否,FLL1022,,否
外國語言 FLL,A1,152,A117300,52,,,外國語言,,N,經貿英文,必修,2陳慧琴,0,35,[4]3~4,,模組二,,否,FLL1028,,否
外國語言 FLL,A1,153,A117700,53,,,外國語言,,N,英語解說與發表,必修,2柯瓊琪,0,30,[4]3~4,,模組三,,否,FLL1032,,否
外國語言 FLL,A1,154,A110500,54,,,外國語言,,N,基礎學術英文,必修,2辛佳玲,0,35,[4]5~6,,模組一,,否,FLL1016,,否
外國語言 FLL,A1,155,A110800,55,,,外國語言,,N,聽力與摘記練習,必修,2吳少方,0,35,[4]5~6,,模組一,,否,FLL1019,,否
外國語言 FLL,A1,156,A111000,56,,,外國語言,,N,生物科技英文,必修,2葉靜怡,0,35,[4]5~6,,模組二,,否,FLL1021,,否
外國語言 FLL,A1,157,A116800,57,,,外國語言,,N,商業溝通英文,必修,2許富貴,0,35,[4]5~6,,模組二,,否,FLL1023,,否
外國語言 FLL,A1,158,A117600,58,,,外國語言,,N,職場英文,必修,2曾惠鈴,0,35,[4]5~6,,模組二,,否,FLL1031,,否
外國語言 FLL,A1,159,A117500,59,,,外國語言,,N,餐旅英文,必修,2賴諭萱,0,35,[4]5~6,,模組二,,否,FLL1030,,否
外國語言 FLL,A1,160,A118000,60,,,外國語言,,N,學術英文寫作,必修,2陳麗美,0,23,[4]5~6,,模組三,,否,FLL1035,,否
